Disclaimer: Although Stormwater Services makes every effort to ensure data quality in the monitoring program, errors do arise and may not be identified at the time the data was uploaded to this database.  The City of Durham does not assume any liability associated with the use of these data and is not obligated to notify parties of modifications or changes to the database.

Query Results: 
Watershed:Eno River 
Medium:Water
Parameters: Copper    Time Period:2019-01-01 ~ 2020-12-31
Project:all
Data was downloaded on March 15 2021 5:25 pm
The data contains the QA code. 
For Help with QA code, please check http://www.durhamwaterquality.org/QAcode.php

Watershed,Station Name,Filtered,Parameter,Date/Time,Value,QA Code,Unit,QAQC Sample,Comments,Rain in Last 24 Hours,Sky Condition,Flow Severity,Comp  Code,Thalweg,Lab,Project
"Eno River","EN10.3WC","Field","Copper","2020-01-07 11:05:00","3.1","J","ug/L","","raining","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","Field","Copper","2020-02-04 11:05:00","2.8","J","ug/L","","light rain","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","Field","Copper","2020-03-03 11:10:00","1.7","J,J7","ug/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","Field","Copper","2020-08-04 10:45:00","3.58","J","ug/L","","Heavy rains overnight from hurricane.","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","Field","Copper","2020-09-01 11:05:00","3.23","J,J7","ug/L",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","Field","Copper","2020-10-06 10:50:00","1.5","J","ug/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","Field","Copper","2020-11-03 10:45:00","1.77","J","ug/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"Eno River","EN10.3WC","Field","Copper","2020-12-01 10:25:00","3.33","J","ug/L",""," ","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","Field","Copper","2020-01-07 11:40:00","1.8","J","ug/L","","raining","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","Field","Copper","2020-02-04 11:30:00","1.7","J","ug/L","","rain stopped","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","Field","Copper","2020-03-03 11:35:00","1.4","J,J7","ug/L",""," ","","","","","","","Ambient",
"Eno River","EN13.3ER","Field","Copper","2020-08-04 11:20:00","1.14","J,J7","ug/L","","Duplicate Site; Heavy rains overnight from hurricane. Duplicate","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","Field","Copper","2020-08-04 11:20:00","1.39","J,J7","ug/L","","Duplicate Site; Heavy rains overnight from hurricane. Duplicate","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","Field","Copper","2020-09-01 11:30:00","1.57","J,J7","ug/L",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","Field","Copper","2020-10-06 11:15:00","1.21","J","ug/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","Field","Copper","2020-11-03 11:10:00","1.17","J","ug/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","Field","Copper","2020-12-01 10:55:00","2.36","J","ug/L",""," ","Yes","Sunny","4","G","No","SDWRF","Ambient",
"Eno River","EN4.9ER","Field","Copper","2020-01-07 09:40:00","2.2","J","ug/L",""," ","No","Overcast","3","G","No","SDWRF","Ambient",
"Eno River","EN4.9ER","Field","Copper","2020-02-04 09:40:00","1.9","J","ug/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN4.9ER","Field","Copper","2020-03-03 09:45:00","1.5","J,J7","ug/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
